cancel	'kænsl	'kænsl	取消， 撤销； 删去
explosive	ɪk'spləusɪv	ɪk'splosɪv; ɪk'splozɪv	爆炸的； 极易引起争论的 / 炸药
numerous	'njuːmərəs	'numərəs	众多的
govern	'gʌvn	'ɡʌvɚn	居支配地位， 占优势 / 统治，治理，支配
analyse	'ænəlaɪz	'æn(ə)laɪz	分析； 分解； 解析
discourage	dɪs'kʌrɪdʒ	dɪs'kɝɪdʒ	使泄气， 使灰心； 阻止， 劝阻
resemble	rɪ'zembl	rɪ'zɛmbl	像， 类似于
remote	rɪ'məut	rɪ'mot	遥远的； 偏僻的； 关系疏远的； 脱离的； 微乎其微的； 孤高的， 冷淡的； 遥控的
salary	'sæləri	'sæləri	薪金， 薪水
pollution	pə'luːʃn	pə'luʃən	污染， 污染物
pretend	prɪ'tend	prɪ'tɛnd	装作， 假装
kettle	'ketl	'kɛtl	水壶
wreck	rek	rɛk	失事；残骸；精神或身体已垮的人 / 破坏
drunk	drʌŋk	drʌŋk	醉的； 陶醉的
calculate	'kælkjuleɪt	'kælkjulet	计算； 估计； 计划
persistent	pə'sɪstənt	pə'zɪstənt	坚持的， 不屈不挠的； 持续不断的； 反复出现的
sake	seɪk	sek	缘故， 理由
conceal	kən'siːl	kən'sil	把…隐藏起来， 掩盖， 隐瞒
audience	'ɔːdiəns	'ɔdɪəns	听众， 观众， 读者
meanwhile	'miːnwaɪl	'minwaɪl	与此同时
possess	pə'zes	pə'zɛs	占用， 拥有
competent	'kɒmpɪtənt	'kɑmpɪtənt	有能力的， 能胜任的
investment	ɪn'vestmənt	ɪn'vɛstmənt	投资， 投资额； 投入
neutral	'njuːtrəl	'nʊtrəl	中立的； 中性的
scratch	skrætʃ	skrætʃ	抓，搔，扒；刮，擦；刻出 / 抓痕， 划痕； 抓， 搔， 刮
optional	'ɒpʃənl	'ɑpʃənl	可以任选的
require	rɪ'kwaɪə	rɪ'kwaɪr	需要； 要求； 命令
circular	'sɜːkjələ	'sɝkjəlɚ	圆的；循环的；兜圈子的 / 通知， 通告
analysis	ə'næləsɪs	ə'næləsɪs	分析， 分析报告； 分解； 解析
click	klɪk	klɪk	发出咔嗒声；点击 / 咔嗒声
fashionable	'fæʃnəbl	'fæʃnəbl	流行的， 时髦的
devise	dɪ'vaɪz	dɪ'vaɪz	设计， 发明
apparent	ə'pærənt	ə'pærənt	表面上的， 明显的
journalist	'dʒɜːnəlɪst	ˈdʒɝ​nlɪst	新闻工作者， 新闻记者
exposure	ɪk'spəuʒə	ɪk'spoʒɚ	暴露， 揭露； 曝光
temper	'tempə	'tɛmpɚ	韧度；心情，情绪 / 调和， 使缓和； 【冶】使回火
protective	prə'tektɪv	prə'tɛktɪv	保护的， 防护的
sideways	'saɪdweɪz	'saɪdwez	从一边， 向一边； 在一边； 斜着， 侧身
multicultural	ˌmʌlti'kʌltʃərəl	'mʌltɪ'kʌltʃərəl	融合多种文化的
object	'ɒbdʒɪkt; -dʒekt	'ɑbdʒɛkt	反对， 不赞成 / 实物， 物体； 目的， 目标； 对象， 客体； 宾语
humble	'hʌmbl	'hʌmbl	谦逊的； 地位低下的； 简陋的
chapter	'tʃæptə	'tʃæptɚ	章， 回， 篇
harbour	'hɑːbə	hɑrbɚ	海港，港口 / 庇护； 心怀
independent	ˌɪndɪ'pendənt	'ɪndɪ'pɛndənt	独立的， 自主的； 无偏见的； 不相关联的
carriage	'kærɪdʒ	'kærɪdʒ	客车厢， 四轮马车
cliff	klɪf	klɪf	悬崖， 峭壁
infinite	'ɪnfɪnət	'ɪnfɪnət	无限的； 无穷的
concede	kən'siːd	kən'sid	承认， 承认…为真； 承认失败； 允许， 让予； 让步， 认输
elect	ɪ'lekt	ɪ'lɛkt	选举， 推选； 选择
weekly	'wiːkli	'wikli	每周 / 每周的
result	rɪ'zʌlt	rɪ'zʌlt	发生； 结果 / 结果；成果；比分
golf	gɒlf	gɔlf	高尔夫球运动
selfish	'selfɪʃ	'sɛlfɪʃ	自私的， 利己的
sexism	'seksɪzəm	'sɛk'sɪzəm	性别偏见， 性别歧视
commission	kə'mɪʃn	kə'mɪʃən	委任状；委员会；佣金，回扣；授权，委托 / 委任， 委托
headline	'hedlaɪn	'hɛdlaɪn	大字标题； 新闻提要
connect	kə'nekt	kə'nɛkt	连接， 结合， 联系； 给…接通电话
rational	'ræʃnəl	'ræʃnəl	理性的， 理智的； 合理的
policy	'pɒləsi	'pɑləsi	政策， 方针； 保险单
editorial	ˌedɪ'tɔːriəl	,ɛdɪ'tɔrɪəl	编辑的，主笔的，编者的；社论的，社论式的 / 社论， 重要评论
resume	rɪˈzjuːm; ˈrɛzjʊmeɪ		重新开始， 继续， 恢复 / 摘要， 概要； 简历
rebuild	ˌriː'bɪld	,ri'bɪld	重建， 改造； 复原
committee	kə'mɪti	kə'mɪti	委员会， 全体委员
